sensor_name,LAT,LNG
1 Lonsdale St East VIC 3000. Melbourne,-37.808527,144.971467
1 Swanston St VIC 3004. Melbourne,-37.817321,144.967349
100 Swanston St. VIC 3000. Melbourne,-37.815058,144.966617
128/2-128 St Kilda Rd Southbank VIC 3006. Melbourne,-37.821407,144.968775
143/151 Grattan St Carlton VIC 3053. Melbourne,-37.800473,144.964411
153 Russell St VIC 3000. Melbourne,-37.813076,144.968004
2 Spring St East VIC 3002. Melbourne,-37.815372,144.974894
223/291 Flinders St. VIC 3000. Melbourne,-37.817768,144.967191
224 Swanston St. VIC 3000. Melbourne,-37.812618,144.965491
311 Little Bourke St VIC 3000. Melbourne,-37.81296,144.963769
32 Flinders St VIC 3000. Melbourne,-37.815329,144.973305
45-55 Collins St. VIC 3000. Melbourne,-37.814334,144.972395
66/20 Flinders Ln VIC 3000. Melbourne,-37.814457,144.973654
73 State Route 50 VIC 3004. Melbourne,-37.819493,144.954064
834 Swanston St Carlton VIC 3053. Melbourne,-37.796674,144.964864
Alfred Place. Melbourne,-37.813911,144.969905
Australia on Collins. Melbourne,-37.818121,144.95728
Birrarung Marr. Melbourne,-37.818752,144.974262
Bourke Street Mall VIC 3000. Melbourne,-37.813887,144.964405
Cemetery East - Stop 115. Melbourne,-37.789285,144.968952
Cemetery/Lygon St. Melbourne,-37.78881,144.965314
Chinatown Melbourne. Melbourne,-37.810551,144.970219
City Square. Melbourne,-37.815961,144.966504
Flagstaff Station. Melbourne,-37.812161,144.956369
Flinders Street Station Underpass. Melbourne,-37.818271,144.967062
Level 2 Cnr Collins & Spencer Sts. Docklands VIC 3008. Melbourne,-37.819031,144.954035
Lonsdale St South. Melbourne,-37.812227,144.962225
Melbourne Central. Melbourne,-37.81083,144.963134
Melbourne Convention Exhibition Centre. Melbourne,-37.825394,144.953111
New Quay. Melbourne,-37.814252,144.942659
Princes Bridge. Melbourne,-37.819261,144.968357
QV Market-Elizabeth St West. Melbourne,-37.80758,144.956785
QV Market-Peel St. Melbourne,-37.80758,144.956785
Queen St West. Melbourne,-37.812646,144.959686
Sandridge Bridge. Melbourne,-37.820034,144.963055
Sidney Myer Asia Centre. Swanston St & Monash Rd. Parkville VIC 3010. Melbourne,-37.798933,144.963945
Southern Cross Station. Melbourne,-37.818285,144.952776
State Library. Melbourne,-37.809809,144.96519
The Arts Centre. Melbourne,-37.821222,144.968534
Victoria Point. Melbourne,-37.806426,144.960759
Waterfront City. Melbourne,-37.815423,144.939177
Webb Bridge. Melbourne,-37.823926,144.94719
Southbank. Melbourne,-37.829,144.957
