road_name,LAT,LNG
Drummond Street   CARLTON   Melbourne,-37.799762,144.968681
Rathdowne Street   Carlton   Melbourne,-37.799887,144.970019
Abbottsford Street   North Melbourne   Melbourne,-37.798955,144.946182
Rankins Road   Kensington   Melbourne,-37.791533,144.931488
Gracie Street   North Melbourne   Melbourne,-37.797254,144.938488
Boundary Road   North Melbourne   Melbourne,-37.792521,144.939396
Buncle Street   North Melbourne   Melbourne,-37.792743,144.940688
Lt Lonsdale Street   Melbourne CBD   Melbourne,-37.811284,144.961862
Grattan Street   Parkville   Melbourne,-37.799972,144.959857
Flemington Road   Parkville   Melbourne,-37.792187,144.945942
Queensberry Street   North Melbourne   Melbourne,-37.803037,144.949882
Victoria Street   North Melbourne   Melbourne,-37.806426,144.960759
O'Shannassy Street   North Melbourne   Melbourne,-37.799945,144.947664
Docklands Drive   Docklands   Melbourne,-37.814468,144.938348
Rosslyn Street   West Melbourne   Melbourne,-37.80896,144.94993
Gatehouse Street   Parkville   Melbourne,-37.794103,144.954356
Park Drive   Parkville   Melbourne,-37.795184,144.955043
Morrah Street   Parkville   Melbourne,-37.79552,144.954992
Story Street   Parkville   Melbourne,-37.796771,144.955367
Bellair Street   Kensington   Melbourne,-37.793422,144.930145
Eastwood Street   Kensington   Melbourne,-37.791952,144.930395
Stubbs Street   Kensington   Melbourne,-37.791781,144.935487
Katherine Place   Melbourne CBD   Melbourne,-37.82008,144.956504
Miller Street   West Melbourne   Melbourne,-37.805639,144.944608
Adderley Street   North Melbourne   Melbourne,-37.809965,144.947088
Spencer Street   West Melbourne   Melbourne,-37.80866,144.948931
Neil Street   Carlton   Melbourne,-37.793937,144.972731
Anderson Street   West Melbourne   Melbourne,-37.805202,144.941861
Highlander Lane   Melbourne CBD   Melbourne,-37.819485,144.957953
Anthony Street   Melbourne CBD   Melbourne,-37.809188,144.959071
Lambeth Street   Kensington   Melbourne,-37.790673,144.934231
Stubbs street   Kensington   Melbourne,-37.791781,144.935487
Maxwell Lane   East Melbourne   Melbourne,-37.816916,144.979556
Barnett Street   Kensington   Melbourne,-37.79257,144.932177
Collett Street   Kensington   Melbourne,-37.790814,144.933349
Langford Street   North Melbourne   Melbourne,-37.797588,144.936967
Little Curzon Street   North Melbourne   Melbourne,-37.80458,144.948333
